image_name,number_vector,median,max
NEKOb2013_000001,"[26, 24, 26, 24, 31]",26,31
NEKOb2013_000002,"[37, 48, 23]",37,48
NEKOb2013_000003,"[21, 25, 29, 31, 26, 25]",25,31
NEKOb2013_000004,"[24, 26, 26, 26, 25, 29]",26,29
NEKOb2013_000005,"[31, 22, 26, 31, 24, 29, 25]",26,31
NEKOb2013_000006,"[19, 24, 26, 25, 23, 27, 22]",24,27
NEKOb2013_000007,"[11, 13, 10, 10, 5, 13]",10,13
NEKOb2013_000008,"[11, 13, 10, 4]",10,13
NEKOb2013_000009,"[9, 13, 10, 10, 11, 12, 4, 9]",10,13
NEKOb2013_000010,"[2, 4, 9, 4, 9]",4,9
NEKOb2013_000011,"[2, 5, 5, 11, 5]",5,11
NEKOb2013_000012,"[9, 7, 10, 7, 7, 8]",7,10
NEKOb2013_000013,"[3, 5, 16, 12, 13, 8]",10,16
NEKOb2013_000014,"[9, 12, 12, 12, 12, 11]",12,12
NEKOb2013_000015,"[23, 14, 23, 23, 24, 30, 26, 17]",23,30
NEKOb2013_000016,"[30, 14, 30, 29, 31, 56]",30,56
NEKOb2013_000017,"[22, 24, 21, 29, 23, 30, 23, 23, 26, 27, 24, 25, 26, 22, 23, 23, 27, 25, 9, 24, 27, 27, 27, 28, 21, 24, 31, 23, 30, 24, 25]",24,31
NEKOb2013_000018,"[30, 22, 24, 19, 17, 18, 19, 26]",20,30
NEKOb2013_000019,"[22, 25, 24, 21, 23, 23, 23, 22, 24]",23,25
NEKOb2013_000020,"[22, 23, 22, 21, 22, 19, 21, 22]",22,23
NEKOb2013_000021,"[14, 14, 15, 15, 20, 13, 15, 14]",14,20
NEKOb2013_000022,"[24, 28, 23, 28, 23, 25, 28]",25,28
NEKOb2013_000023,"[16, 16, 16, 16, 28, 20, 18]",16,28
NEKOb2013_000024,"[24, 18]",21,24
NEKOb2013_000025,"[22, 13, 14, 15]",14,22
NEKOb2013_000026,"[27, 18, 26, 18, 18]",18,27
NEKOb2013_000027,"[20, 20, 17, 19, 22, 17, 19, 19, 22, 19, 20]",19,22
NEKOb2013_000028,"[30, 19, 0]",19,30
NEKOb2013_000029,"[26, 34, 26, 28, 25, 25, 24, 22]",25,34
NEKOb2013_000030,"[21, 17, 21, 0, 17, 20]",18,21
NEKOb2013_000031,"[4, 13, 9, 10, 10, 13, 14]",10,14
NEKOb2013_000032,"[5, 8, 5, 7, 4]",5,8
NEKOb2013_000033,"[0, 11, 11, 9, 4, 8, 10]",9,11
NEKOb2013_000034,"[6, 5, 13, 14, 10, 14]",11,14
NEKOb2013_000035,[],,
NEKOb2013_000036,"[8, 9, 10, 9, 10]",9,10
NEKOb2013_000037,"[9, 7, 0, 10, 7, 7, 7, 7, 11, 8, 8, 8, 8, 9, 11, 8, 9]",8,11
NEKOb2013_000038,"[8, 12, 4, 10, 9, 9, 8, 9]",9,12
NEKOb2013_000039,"[19, 23, 23, 22, 23, 22, 23, 22, 22]",22,23
NEKOb2013_000040,"[14, 14, 15, 16, 17, 0, 16, 16]",15,17
NEKOb2013_000041,"[16, 15, 16, 14, 15, 15, 14, 14, 16]",15,16
NEKOb2013_000042,"[14, 12, 10, 11, 12, 13, 13, 11, 7, 11, 10, 12, 14, 10, 16, 11, 10]",11,16
NEKOb2013_000043,"[28, 24, 23, 25, 25, 27, 23, 25]",25,28
NEKOb2013_000044,"[26, 27, 25, 28, 28, 28, 30, 26, 27, 27, 29]",27,30
NEKOb2013_000045,"[30, 26, 25, 31, 28, 30, 28, 29]",28,31
NEKOb2013_000046,"[25, 25, 29, 26, 24, 35]",25,35
NEKOb2013_000047,"[32, 35, 40, 36]",35,40
NEKOb2013_000048,"[41, 38, 51, 51]",46,51
NEKOb2013_000049,"[34, 37, 37, 36, 30]",36,37
